,type,年,月/日,縣市,地區
257,住宅竊盜,106,0427,台北市,士林區
258,住宅竊盜,106,0427,宜蘭縣,頭城鎮
259,住宅竊盜,106,0428,新北市,板橋區
260,住宅竊盜,106,0428,雲林縣,古坑鄉
261,住宅竊盜,106,0428,桃園市,平鎮區
262,住宅竊盜,106,0428,桃園市,八德區
263,住宅竊盜,106,0428,桃園市,平鎮區
264,住宅竊盜,106,0428,桃園市,中壢區
265,住宅竊盜,106,0428,新竹市,北區
266,住宅竊盜,106,0428,彰化縣,溪湖鎮
267,住宅竊盜,106,0428,宜蘭縣,五結鄉
268,住宅竊盜,106,0428,新竹縣,關西鎮
269,住宅竊盜,106,0428,新北市,汐止區
270,住宅竊盜,106,0429,台北市,南港區
271,住宅竊盜,106,0429,新北市,三重區
272,住宅竊盜,106,0430,苗栗縣,竹南鎮
273,住宅竊盜,106,0430,高雄市,前金區
274,住宅竊盜,106,0430,新北市,新莊區
275,住宅竊盜,106,0430,新北市,板橋區
276,住宅竊盜,106,0430,苗栗縣,竹南鎮
277,住宅竊盜,106,0430,新北市,新店區
278,住宅竊盜,106,0430,嘉義縣,竹崎鄉
279,住宅竊盜,106,0430,彰化縣,員林市
280,住宅竊盜,106,0430,桃園市,中壢區
281,住宅竊盜,106,0430,基隆市,安樂區
282,住宅竊盜,106,0501,桃園市,桃園區
283,住宅竊盜,106,0501,台北市,內湖區
284,住宅竊盜,106,0501,台中市,潭子區
285,住宅竊盜,106,0501,新北市,板橋區
286,住宅竊盜,106,0501,台北市,內湖區
287,住宅竊盜,106,0502,台南市,歸仁區
288,住宅竊盜,106,0502,彰化縣,伸港鄉
289,住宅竊盜,106,0502,桃園市,桃園區
290,住宅竊盜,106,0502,高雄市,仁武區
291,住宅竊盜,106,0502,彰化縣,埔心鄉
292,住宅竊盜,106,0502,台北市,內湖區
293,住宅竊盜,106,0502,彰化縣,二林鎮
294,住宅竊盜,106,0502,南投縣,埔里鎮
295,住宅竊盜,106,0502,南投縣,竹山鎮
296,住宅竊盜,106,0502,台北市,中山區
297,住宅竊盜,106,0502,台北市,大同區
298,住宅竊盜,106,0503,新北市,板橋區
299,住宅竊盜,106,0503,桃園市,八德區
300,住宅竊盜,106,0503,新竹市,東區
301,住宅竊盜,106,0503,台北市,文山區
302,住宅竊盜,106,0503,台南市,永康區
303,住宅竊盜,106,0503,台北市,中山區
304,住宅竊盜,106,0503,台北市,萬華區
305,住宅竊盜,106,0503,台北市,南港區
306,住宅竊盜,106,0503,南投縣,埔里鎮
307,住宅竊盜,106,0504,新北市,蘆洲區
308,住宅竊盜,106,0504,台南市,中西區
309,住宅竊盜,106,0504,台北市,中正區
310,住宅竊盜,106,0504,台南市,永康區
311,住宅竊盜,106,0504,桃園市,中壢區
312,住宅竊盜,106,0505,新北市,板橋區
313,住宅竊盜,106,0505,嘉義縣,朴子市
314,住宅竊盜,106,0505,桃園市,中壢區
315,住宅竊盜,106,0505,台北市,北投區
316,住宅竊盜,106,0505,宜蘭縣,冬山鄉
317,住宅竊盜,106,0505,桃園市,中壢區
318,住宅竊盜,106,0505,高雄市,苓雅區
319,住宅竊盜,106,0505,台中市,大雅區
320,住宅竊盜,106,0505,雲林縣,斗南鎮
321,住宅竊盜,106,0505,高雄市,左營區
