,縣市名,地區名,電影院,百貨,好市多,全聯,頂好
208,雲林縣,麥寮鄉,0,0,0,0,1
209,雲林縣,斗六市,1,0,0,0,5
210,雲林縣,林內鄉,0,0,0,0,0
211,雲林縣,古坑鄉,0,0,0,0,1
212,雲林縣,莿桐鄉,0,0,0,0,1
213,雲林縣,西螺鎮,0,0,0,0,2
214,雲林縣,二崙鄉,0,0,0,0,0
215,雲林縣,北港鎮,0,0,0,0,2
216,雲林縣,水林鄉,0,0,0,0,0
217,雲林縣,口湖鄉,0,0,0,0,0
218,雲林縣,四湖鄉,0,0,0,0,0
219,雲林縣,元長鄉,0,0,0,0,0
220,臺南市,中西區,6,0,0,0,1
221,臺南市,東區,3,1,0,1,1
222,臺南市,南區,0,0,0,1,0
223,臺南市,北區,0,0,1,0,2
224,臺南市,安平區,0,0,0,0,3
225,臺南市,安南區,0,0,0,0,4
226,臺南市,永康區,0,0,0,2,7
227,臺南市,歸仁區,0,0,0,0,3
228,臺南市,新化區,0,0,0,0,1
229,臺南市,左鎮區,0,0,0,0,0
230,臺南市,玉井區,0,0,0,0,0
231,臺南市,楠西區,0,0,0,0,0
232,臺南市,南化區,0,0,0,0,0
233,臺南市,仁德區,0,0,0,0,2
234,臺南市,關廟區,0,0,0,0,0
235,臺南市,龍崎區,0,0,0,0,0
236,臺南市,官田區,0,0,0,0,0
237,臺南市,麻豆區,1,0,0,1,2
238,臺南市,佳里區,0,0,0,0,1
239,臺南市,西港區,0,0,0,0,1
240,臺南市,七股區,0,0,0,0,0
241,臺南市,將軍區,0,0,0,0,0
242,臺南市,學甲區,0,0,0,1,1
243,臺南市,北門區,0,0,0,0,0
244,臺南市,新營區,0,0,0,1,3
245,臺南市,後壁區,0,0,0,0,0
246,臺南市,白河區,0,0,0,0,1
247,臺南市,東山區,0,0,0,0,0
248,臺南市,六甲區,0,0,0,0,1
249,臺南市,下營區,0,0,0,0,0
250,臺南市,柳營區,0,0,0,0,0
251,臺南市,鹽水區,0,0,0,0,1
252,臺南市,善化區,0,0,0,0,2
253,臺南市,新市區,0,0,0,0,1
254,臺南市,大內區,0,0,0,0,0
255,臺南市,山上區,0,0,0,0,0
256,臺南市,安定區,0,0,0,0,0
257,高雄市,新興區,6,0,0,0,2
258,高雄市,前金區,0,0,0,0,2
259,高雄市,苓雅區,3,0,0,1,6
260,高雄市,鹽埕區,1,0,0,0,0
261,高雄市,鼓山區,0,0,1,3,3
262,高雄市,旗津區,0,0,0,0,0
263,高雄市,前鎮區,3,2,1,0,6
